,RMSE_mean,RMSE_std,BW_THRE,Precision,Recall,F1-Score
0,,,0,0.0,0.0,0.0
1,27.70670405336847,7.957850804713797,1,1.0,0.0029850746268656717,0.005952380952380953
2,20.6053323196535,9.509054262596505,2,1.0,0.15522388059701492,0.2687338501291989
3,21.06777927387604,27.215250001689373,3,0.98989898989899,0.29253731343283584,0.4516129032258065
4,19.6208935801892,26.818884385586294,4,0.9921875,0.37910447761194027,0.5485961123110151
5,18.47705394956389,27.152708072952038,5,0.9938650306748467,0.4835820895522388,0.6506024096385543
6,17.371007740990926,26.455790785900724,6,0.9947643979057592,0.5671641791044776,0.7224334600760455
7,16.41445510716215,25.89999446534707,7,0.9954128440366973,0.6477611940298508,0.7848101265822784
8,16.46535723746064,25.67942467955651,8,0.9932659932659933,0.8805970149253731,0.9335443037974684
9,14.24126101557563,13.459993997375696,9,0.9935691318327974,0.9223880597014925,0.956656346749226
10,13.582116167195649,9.148455936408252,10,0.9907692307692307,0.9583333333333334,0.9742813918305598
11,13.476135448132919,15.56674883300356,11,0.990228013029316,0.9074626865671642,0.9470404984423676
12,13.157743866545669,15.58926583048606,12,0.9900990099009901,0.8955223880597015,0.9404388714733543
13,12.98057377248836,13.16370408525437,13,0.9894736842105263,0.8417910447761194,0.9096774193548387
14,12.7926315702691,13.074510322118346,14,0.9888059701492538,0.7910447761194029,0.8789386401326699
15,14.833733576756186,15.3495564941282,15,0.966542750929368,0.7761194029850746,0.8609271523178809
16,14.394916679862575,25.43233289609595,16,0.9809160305343512,0.7671641791044777,0.8609715242881072
17,14.977511414016446,25.916943713470907,17,0.9810606060606061,0.7731343283582089,0.8647746243739567
18,17.222549961174845,29.734655681073633,18,0.967741935483871,0.7164179104477612,0.823327615780446
19,16.06119285479294,28.924908518433863,19,0.9795918367346939,0.7164179104477612,0.8275862068965516
20,18.252449623034835,30.461988966647862,20,0.9676113360323887,0.7134328358208956,0.8213058419243987
21,16.412582385921322,31.217405473949878,21,0.9834710743801653,0.7104477611940299,0.8249566724436742
22,18.99136563074524,37.75109975395008,22,0.9711934156378601,0.7044776119402985,0.8166089965397924
23,16.095000877806147,30.606586647196153,23,0.9832635983263598,0.7014925373134329,0.8188153310104529
24,18.70878474081223,34.99114154182942,24,0.9785407725321889,0.6805970149253732,0.8028169014084507
25,28.785572798112586,45.98386937301822,25,0.9367088607594937,0.6626865671641791,0.7762237762237761
26,31.291946741867473,44.855461497445496,26,0.9139344262295082,0.6656716417910448,0.770293609671848
27,31.631605407026967,48.25374418811541,27,0.9273504273504274,0.6477611940298508,0.7627416520210898
28,29.29659048162938,42.55545068015595,28,0.9310344827586207,0.6447761194029851,0.761904761904762
29,21.861136480425355,39.579149072305114,29,0.9611650485436893,0.591044776119403,0.7319778188539741
30,19.221096170823213,32.85071887077837,30,0.9458128078817734,0.573134328358209,0.7137546468401487
31,19.89782244117232,32.8823222283955,31,0.9365079365079365,0.5283582089552239,0.6755725190839695
32,19.88647942186985,34.2501058183143,32,0.9491525423728814,0.5014925373134328,0.65625
33,23.378130754038047,34.68976115979299,33,0.8688524590163934,0.4746268656716418,0.6138996138996139
34,22.977994049190446,36.37189120364036,34,0.8765432098765432,0.42388059701492536,0.5714285714285714
35,24.188149592365782,41.05476746147195,35,0.8881578947368421,0.40298507462686567,0.5544147843942505
36,29.0988182455986,41.90173224872192,36,0.8783783783783784,0.3880597014925373,0.5383022774327123
