,img_path,resize_x,resize_y,mus_1_x,mus_1_y,mus_1_type,mus_1_area,mus_2_x,mus_2_y,mus_2_type,mus_2_area,mus_3_x,mus_3_y,mus_3_type,mus_3_area,mus_1_rmse,mus_2_rmse,mus_3_rmse,mus_4_rmse,rmse_mean,rmse_dev
0,img00.png,2.0,2.0,206.57164001464844,453.70074462890625,2,4284.22718278299,275.5814208984375,385.2231140136719,2,7891.291551557509,,,,,7.362036073362674,7.059846557617192,6.4029851866275465,,6.941622605869138,0.4903338943128991
1,img0000_1.png,2.0,2.0,437.14788818359375,412.8865661621094,1,7305.5692726080015,61.377525329589844,293.048828125,1,7871.428939903092,261.9143981933594,197.7308349609375,1.0,7214.61560530012,7.047128886990549,6.837842840309364,5.698238946815138,,6.527736891371684,0.7259478578737665
2,img0000_2.png,2.0,2.0,608.3543701171875,341.75848388671875,1,5664.075749592208,163.30453491210938,334.60943603515625,1,8295.012824127867,509.3361511230469,250.0334014892578,1.0,7362.19750012619,15.685972208788343,5.465565451487933,17.272202156121054,,12.807913272132444,6.407931413564457
3,img0000_20.png,2.0,2.0,62.86383056640625,417.35614013671875,1,7381.3186336741755,576.8545532226562,421.3126525878906,1,6919.995711439329,163.09669494628906,146.33932495117188,1.0,5616.538813352462,11.063969731673737,6.197621740783859,19.005380295202094,,12.088990589219897,6.465111802271625
4,img0000_4.png,2.0,2.0,198.7691650390625,443.3258361816406,1,7384.699495258619,133.9468536376953,124.12126159667969,2,6275.965935730507,71.71754455566406,72.2054214477539,2.0,8039.964977949084,11.732109363412263,18.91843998084579,6.253202341852614,,12.30125056203689,6.3517715946829565
5,img0038.png,2.0,2.0,31.42300796508789,411.3995666503906,2,7193.220990723015,80.93043518066406,327.9255676269531,2,6743.342634006568,595.5142822265625,311.0471496582031,1.0,7357.057485987764,13.397089860327387,11.653264148076588,12.11122367818622,,12.38719256219673,0.9040747465686991
6,img0074.png,2.0,2.0,156.3547821044922,325.833251953125,1,6765.4883462994385,85.010498046875,180.1042938232422,1,8355.481451469848,615.67724609375,197.66622924804688,1.0,6804.844596786273,13.768609288700134,20.549752044267954,31.300114844229356,,21.872825392399147,8.840323188339289
7,img0082.png,2.0,2.0,232.2983856201172,233.54385375976562,1,7559.612187451384,63.291202545166016,72.0893783569336,1,6914.8384741326545,603.840087890625,84.53010559082031,1.0,9480.17274493466,6.249562481540906,19.484857815415147,12.388708895021395,,12.707709730659149,6.623411643071228
8,img0089.png,2.0,2.0,118.84017944335938,353.01580810546875,1,7613.879550763633,233.32444763183594,284.66455078125,1,7738.7741165922325,604.1536254882812,182.62132263183594,1.0,5971.471985143781,18.046091700472402,2.9126462283816323,6.824071501061795,,9.26093647663861,7.855509286232236
9,img0200.png,2.0,2.0,441.81707763671875,449.1824951171875,1,6697.380695278442,106.44398498535156,450.3731384277344,1,6134.698047859782,228.19073486328125,367.4835510253906,1.0,8121.566148458495,5.2815051376333315,15.90790634263385,19.332587969265163,,13.507333149844115,7.326683828704514
10,img0237.png,2.0,2.0,189.79586791992188,452.13079833984375,1,6956.578914744108,150.5559539794922,176.4666748046875,1,6738.777889686438,122.80382537841797,82.998291015625,1.0,8032.816381082086,18.200219554123933,13.53266313962078,11.462378667473835,,14.398420453739517,3.4513441944648187
11,img0252.png,2.0,2.0,313.2193298339844,455.1531066894531,1,5615.819244072451,101.32006072998047,273.0515441894531,2,9400.259652146635,78.97794342041016,237.19151306152344,2.0,7894.605826752408,8.404988412605775,15.069253663894443,7.481680316471028,,10.318640797657082,4.139971789003152
12,img0252_20.png,2.0,2.0,152.62884521484375,431.50732421875,1,7603.998710686503,533.6412353515625,337.1480712890625,2,6167.846591441563,538.7901000976562,254.4521026611328,2.0,7963.65197902232,12.650927595197118,10.47791153685148,23.347224160494036,,15.492021097514211,6.889024681908371
13,img0303.png,2.0,2.0,109.90101623535156,345.5039367675781,1,6786.420122292042,604.2800903320312,75.83927917480469,1,8860.73729931244,46.43482208251953,61.20460891723633,1.0,7652.154397038828,7.749134542321663,26.845505653549168,28.730996116665047,,21.10854543751196,11.607935353520975
14,img0324.png,2.0,2.0,76.97322082519531,454.224609375,2,6480.921979760553,139.98472595214844,364.2819519042969,2,6511.086013212205,81.47501373291016,44.130950927734375,1.0,9018.238781459975,16.90541505621667,15.402497987182869,9.893389814441036,,14.067100952613524,3.6918272478241856
15,img0415.png,2.0,2.0,25.36751365661621,443.8051452636719,1,3437.70377875401,594.0037841796875,365.6654052734375,2,4305.8076576501735,,,,,5.1222433340066775,8.940103595683581,26.337870401089276,,13.466739110259844,11.309002156412797
16,img0423.png,2.0,2.0,117.4149169921875,425.7695617675781,2,2857.192096332055,148.55503845214844,215.70220947265625,1,6960.071961786304,,,,,6.473326235406539,12.50624385025884,18.298285623751426,,12.425951903138936,5.912888569183483
17,img0438.png,2.0,2.0,587.8755493164062,433.2303466796875,1,7078.252261565925,81.65438079833984,290.9197998046875,1,7921.020974784025,126.84846496582031,206.47625732421875,1.0,8029.773734174304,25.933373005392326,9.06900679459342,23.822036467127617,,19.608138755704456,9.188003720326684
18,img0502.png,2.0,2.0,536.0354614257812,437.6944580078125,1,6224.128022183667,413.0019836425781,165.4841766357422,1,6945.63613345659,49.16923522949219,49.196388244628906,1.0,7953.9961309860855,11.95399310528137,1.6288862994418167,8.314941974241663,,7.299273792988283,5.236949878393575
19,img0513.png,2.0,2.0,76.77326965332031,357.52001953125,1,7336.244351499478,49.59526824951172,197.83892822265625,2,7229.165678241334,56.19200134277344,108.33118438720703,2.0,6829.990279413161,7.932304718533047,22.45755513212808,8.641250034665191,,13.010369961775439,8.189177711926549
20,img0534.png,2.0,2.0,97.14598083496094,289.65338134765625,1,7550.300010212201,125.4992446899414,119.24202728271484,1,7187.745414517208,49.27750015258789,105.20828247070312,1.0,7860.661431674846,12.675246339796374,20.03992893822634,19.781237996742163,,17.498804424921627,4.179325866839577
21,img056.png,2.0,2.0,52.20167922973633,160.0018768310547,1,6275.974551660527,199.57301330566406,165.71205139160156,1,6752.920380912091,,,,,12.552721969604498,9.503467651367188,15.701668980081863,,12.58595286701785,3.099234284017144
22,img058.png,2.0,2.0,52.84709548950195,159.56875610351562,1,6332.731441466518,198.85467529296875,162.9588165283203,1,6639.477950676759,,,,,12.523574203491208,10.165754089355474,8.143445682502474,,10.277591325116385,2.1922048582583975
23,img059.png,2.0,2.0,53.094085693359375,159.42967224121094,1,6328.336128621445,198.59849548339844,161.8472442626953,1,6612.801567580932,,,,,12.614121032714849,10.84963012695313,5.4581224708481955,,9.64062454350539,3.7280490514430276
24,img0592.png,2.0,2.0,49.783363342285156,420.5204162597656,1,7074.555674312343,604.8333129882812,413.1263427734375,1,6524.664778591887,158.38612365722656,382.0215759277344,1.0,8265.70929907445,19.18475404141983,13.440882437836109,17.331574922877792,,16.652403800711244,2.931547425763837
25,img060.png,2.0,2.0,53.31847381591797,159.3334197998047,1,6370.665350742971,198.7132568359375,161.8813018798828,1,6707.629942360037,,,,,12.540053192138672,10.775220642089849,12.334826184841916,,11.88336667302348,0.9651529674287198
26,img061.png,2.0,2.0,53.33671569824219,159.456298828125,1,6368.650931946297,198.5210723876953,161.50558471679688,1,6734.476405380101,,,,,12.631992736816407,11.071171447753898,2.3021852549288155,,8.668449813166374,5.568306214029669
27,img062.png,2.0,2.0,53.338497161865234,159.5418243408203,1,6345.0150785280275,198.2937469482422,161.20620727539062,1,6765.347669125658,,,,,12.780839248657223,11.362022888183589,5.37344138524395,,9.83876784069492,3.9316173811167916
28,img063.png,2.0,2.0,53.17542266845703,159.67483520507812,1,6353.818293166052,198.15521240234375,161.5982666015625,1,6743.908338460669,,,,,12.979371063232428,11.046260498046877,25.55186931502672,,16.525833625435343,7.876307467121951
29,img0630.png,2.0,2.0,527.0786743164062,440.3993225097656,1,6549.587028761333,401.63897705078125,372.6983947753906,1,7549.112649727311,28.127553939819336,178.05715942382812,1.0,4769.084570219646,10.99107841677312,2.6024059521173513,15.394887864975061,,9.662790744621844,6.498858321096845
30,img065.png,2.0,2.0,51.9149169921875,161.15354919433594,1,6574.1526886129495,197.60385131835938,163.6723175048828,1,6933.167095172079,,,,,13.749266906738278,10.506915588378902,11.805052281482958,,12.020411592200047,1.631868635169847
31,img066.png,2.0,2.0,51.170597076416016,162.48983764648438,1,6793.158231865946,197.3892822265625,165.47418212890625,1,6964.0423380884595,,,,,13.234282638549807,9.713267822265621,11.648199037227087,,11.531916499347505,1.7633852544424253
