t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.158900189,0.911912818,0.235087942,0.001577013,1751290428462746365,8000,8000,1751290428697825234,98,79
1.405508161,1.259809789,0.141201942,0.00304436,1751290429961107303,2000,14000,1751290430102305967,150,130
1.223942493,1.214679523,0.004506394,0.004047438,1751290431333220704,8000,18000,1751290431337723264,99,165
1.028957454,0.865920587,0.160690847,0.001713973,1751290432209892681,12000,14000,1751290432370639786,63,132
0.990871485,0.982300227,0.004140196,0.003948347,1751290433356667290,6000,14000,1751290433360803764,113,131
1.657979892,1.648410502,0.004480598,0.003460169,1751290435015302801,14000,8000,1751290435019900434,47,80
1.515132332,1.328232182,0.181497843,0.004462506,1751290436355100768,8000,2000,1751290436536591501,98,25
3.760092442,3.752621594,0.003644573,0.002384853,1751290440295556386,2000,20000,1751290440299198348,150,178
3.882174082,3.875094005,0.004327304,0.002171911,1751290444177687597,12000,2000,1751290444182014327,61,27
4.108747214,4.099510819,0.004203491,0.004279583,1751290448285860617,8000,22000,1751290448290060145,99,197
1.29546311,1.289016191,0.003840478,0.00210806,1751290449584688564,12000,16000,1751290449588526432,64,151
2.435731534,2.429002859,0.004121196,0.002173522,1751290452021375213,10000,4000,1751290452025492539,80,46
3.253512599,3.238489847,0.004244028,0.004686261,1751290455273297595,12000,20000,1751290455277534475,64,181
3.666516058,3.657431864,0.004608818,0.002971881,1751290458943074900,10000,2000,1751290458947685737,80,27
4.189912802,4.181022124,0.003970328,0.004229232,1751290463133490751,14000,22000,1751290463137458394,47,200
2.328487279,2.247035858,0.076871806,0.003886589,1751290465389890576,4000,12000,1751290465466765345,133,113
2.158695089,2.147031434,0.004467672,0.004082123,1751290467622103560,14000,4000,1751290467626569029,47,43
1.467160241,1.324101501,0.13867214,0.003488966,1751290468957345762,8000,10000,1751290469096025179,98,97
1.635922481,1.625451049,0.005752597,0.003720332,1751290470726997773,6000,18000,1751290470732748649,115,163
3.36236406,3.351636927,0.004587912,0.005231531,1751290474089589144,2000,2000,1751290474094177259,151,26
2.369375817,2.252471565,0.111678184,0.003155452,1751290476354420576,12000,12000,1751290476466097427,63,115
0.719256722,0.497931842,0.215607079,0.005061367,1751290476970316987,10000,12000,1751290477185911177,80,115
1.341295487,1.166403638,0.16774594,0.006343255,1751290478358930418,6000,12000,1751290478526676079,115,114
1.19943397,1.19116567,0.004391433,0.003330394,1751290479725254211,2000,18000,1751290479729640773,150,160
0.849360834,0.650440833,0.186179899,0.003287654,1751290480393908784,4000,16000,1751290480580080350,132,147
1.60335396,1.594908459,0.003903478,0.00408853,1751290482179225541,12000,10000,1751290482183120315,65,98
1.569462963,1.559211639,0.004183399,0.005553212,1751290483747418265,4000,6000,1751290483751597460,130,61
2.121397162,2.107966238,0.004301027,0.005591229,1751290485869069386,10000,16000,1751290485873352691,81,147
2.959406488,2.949428844,0.004213491,0.004792705,1751290488830609379,4000,2000,1751290488834824092,133,27
0.883811305,0.778712,0.099933588,0.004293601,1751290489620726686,2000,6000,1751290489720656237,151,60
1.551134155,1.540201247,0.004406322,0.005321438,1751290491267246776,4000,14000,1751290491271648487,132,128
1.567457763,1.557601395,0.004384081,0.004819538,1751290492835988093,12000,18000,1751290492840369323,66,166
0.986366935,0.829304865,0.148821362,0.007498016,1751290493675930666,8000,14000,1751290493824749843,98,132
1.134014966,1.118296779,0.005027682,0.009917479,1751290494953638887,8000,20000,1751290494958664310,99,180
0.902029965,0.720956518,0.167696335,0.009691815,1751290495694992002,4000,22000,1751290495862684040,133,198
1.878546392,1.853786657,0.008038785,0.005184403,1751290497738785820,14000,18000,1751290497746822013,48,167
2.391707863,2.378756153,0.004919796,0.004911962,1751290500134686157,2000,12000,1751290500139605916,148,114
0.784197285,0.602641271,0.176416833,0.004450914,1751290500749519557,2000,10000,1751290500925932020,150,96
1.941251548,1.92918288,0.004181436,0.006689824,1751290502862687395,14000,10000,1751290502866865035,47,98
1.318917468,1.143234215,0.167221289,0.007890084,1751290504018070851,14000,14000,1751290504185341547,46,133
2.303962561,2.292951173,0.004531505,0.005987927,1751290506487388081,14000,2000,1751290506491916346,43,27
3.742605658,3.731560308,0.004493172,0.005971502,1751290510230954781,10000,20000,1751290510235446583,82,180
0.700233131,0.639593276,0.051519346,0.008621203,1751290510882176917,14000,20000,1751290510933761059,48,184
