t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.943559768,0.717274445,0.223874281,0.001740217,1751287140734543624,14000,16000,1751287140958417331,46,149
1.642877839,1.635786158,0.004428495,0.00196114,1751287142597536129,10000,8000,1751287142601962606,80,82
0.963876927,0.823855578,0.137546328,0.001774142,1751287143428994307,6000,4000,1751287143566579857,115,42
3.761126617,3.754638539,0.004241424,0.001451406,1751287147324280539,12000,22000,1751287147328518482,64,198
1.629045904,1.617334416,0.006262377,0.005027802,1751287148948032238,10000,14000,1751287148954293597,83,153
1.24506253,1.235235016,0.004568845,0.003151697,1751287150232155290,4000,18000,1751287150236720931,131,164
1.507913952,1.270832729,0.233792416,0.002674908,1751287151511812935,12000,18000,1751287151745651591,63,166
3.241428779,3.233794291,0.004156573,0.001872918,1751287154987493143,8000,2000,1751287154991645790,97,27
3.365795582,3.35834285,0.003972872,0.001907381,1751287158354487468,2000,18000,1751287158358457932,150,161
2.973537531,2.78446251,0.177040168,0.002728833,1751287161155705656,14000,6000,1751287161332744953,44,61
2.62979142,2.61976563,0.004329645,0.002939534,1751287163957234316,2000,16000,1751287163961560238,147,147
2.533753623,2.375179574,0.152346671,0.004754027,1751287166345113827,14000,10000,1751287166497459183,45,97
2.163233741,2.154901393,0.004436161,0.003363417,1751287168659226259,2000,12000,1751287168663658347,147,113
2.037083811,2.025501692,0.005268687,0.004711713,1751287170694857553,12000,6000,1751287170700126240,63,61
2.866219859,2.846520277,0.011139144,0.007499156,1751287173553830827,10000,20000,1751287173564968081,81,181
0.853824497,0.655450111,0.192538189,0.003321158,1751287174231704037,8000,20000,1751287174424214282,98,182
3.631607217,3.610416638,0.004206479,0.004495624,1751287178051026620,4000,2000,1751287178055230674,133,28
1.109159716,1.096141988,0.008601012,0.00393552,1751287179156831827,4000,8000,1751287179165431154,133,74
1.226034476,1.059238918,0.160854713,0.003596655,1751287180234120960,10000,6000,1751287180394973656,79,61
2.871787739,2.861189588,0.004620196,0.005185077,1751287183261022974,6000,20000,1751287183265640781,115,180
1.613183874,1.605294483,0.00408311,0.003158753,1751287184878954524,8000,12000,1751287184883031097,97,116
0.92023637,0.847009581,0.067578737,0.004399347,1751287185734825039,12000,16000,1751287185802475885,63,149
2.667978817,2.653664847,0.004199424,0.007349121,1751287188466694791,2000,4000,1751287188470896881,151,44
3.701067039,3.691328284,0.004462957,0.004800323,1751287192173323420,4000,22000,1751287192177895949,132,196
4.069522436,4.051768607,0.003920427,0.004656454,1751287196244948586,6000,2000,1751287196248867921,115,27
2.076533643,2.066571706,0.004467124,0.004854062,1751287198321210584,12000,12000,1751287198325706596,63,112
1.691479021,1.679342855,0.004218479,0.005389111,1751287200012876991,8000,4000,1751287200017091137,97,46
1.210311158,1.193455909,0.009697199,0.006591076,1751287201217009716,14000,8000,1751287201226708064,45,80
1.11988557,1.108488616,0.004211349,0.006215099,1751287202343519861,8000,6000,1751287202347706748,95,61
0.901509176,0.709546014,0.186710679,0.004612288,1751287203066146416,8000,8000,1751287203252901003,98,79
1.229177201,1.013795418,0.208362065,0.005991195,1751287204272875095,12000,4000,1751287204481223383,61,43
2.47857126,2.467845648,0.004129758,0.005782661,1751287206959450813,6000,16000,1751287206963578016,115,146
1.686093148,1.674282034,0.005604552,0.005068337,1751287208645395111,2000,8000,1751287208650995404,150,81
2.872582483,2.687249565,0.174616343,0.005387203,1751287211349976493,12000,20000,1751287211524590150,64,183
2.040806698,2.027161405,0.004192942,0.008015334,1751287213561805750,10000,10000,1751287213566003081,80,99
2.450107278,2.438947321,0.004419531,0.00517691,1751287216015092910,8000,22000,1751287216019509552,98,196
0.374187243,0.358761993,0.004587678,0.007889576,1751287216387928653,10000,22000,1751287216392513330,82,200
3.421261762,3.410155565,0.004307366,0.00619234,1751287219811861823,2000,6000,1751287219816164615,151,63
2.549923519,2.539044169,0.004221942,0.005942714,1751287222363732666,8000,18000,1751287222367951293,98,163
0.687755463,0.458342792,0.221810684,0.005752994,1751287222834928447,10000,16000,1751287223056736686,80,148
1.683234485,1.668554522,0.007704967,0.00496532,1751287224735493344,2000,10000,1751287224743197570,147,96
1.230203635,1.21482646,0.004889099,0.005986453,1751287225967942021,4000,16000,1751287225972825880,132,145
0.853738337,0.647234981,0.196570846,0.00882797,1751287226628648426,2000,14000,1751287226825260161,149,130
1.958450018,1.946764976,0.00470949,0.006516724,1751287228781928610,14000,14000,1751287228786644063,47,132
1.436345592,1.336089114,0.092733971,0.007038013,1751287230130695770,14000,12000,1751287230223415131,45,115
1.891084584,1.877870415,0.003718967,0.008069536,1751287232112490187,14000,22000,1751287232116204988,47,199
4.07667712,4.063776985,0.004074554,0.007246992,1751287236191432516,12000,2000,1751287236195499960,61,27
1.451221876,1.432323823,0.00931613,0.008191312,1751287237637553278,4000,4000,1751287237646865222,130,42
1.130107838,1.098694201,0.004734823,0.025776938,1751287238755220418,4000,10000,1751287238759972704,132,93
2.389082112,2.376408011,0.004795822,0.007267621,1751287241163438912,6000,22000,1751287241168253401,115,197
1.014487862,0.837502326,0.170521534,0.005641403,1751287242016056435,10000,18000,1751287242186573710,81,165
1.627892449,1.611886265,0.005757605,0.009411609,1751287243809322379,8000,10000,1751287243815081873,98,99
2.578750587,2.560663672,0.004994283,0.011130048,1751287246389718222,2000,22000,1751287246394708226,150,196
0.881463999,0.653686542,0.217702671,0.007781799,1751287247062400981,4000,20000,1751287247280144670,132,181
2.441809992,2.376615882,0.052362456,0.011503136,1751287249666408084,6000,8000,1751287249718833057,115,78
1.112974912,1.098124211,0.004033185,0.00729838,1751287250834073252,12000,10000,1751287250838099919,65,97
1.063175677,0.847292576,0.204613295,0.010418411,1751287251695167284,12000,14000,1751287251899795987,63,132
1.960267477,1.942751592,0.004202701,0.010196506,1751287253856488236,2000,20000,1751287253860686492,148,181
1.635792457,1.621570415,0.004785378,0.008130109,1751287255494693846,4000,12000,1751287255499476464,131,116
2.284951631,2.177883978,0.09957711,0.007048698,1751287257686402871,14000,20000,1751287257785977074,46,184
1.770582282,1.665203105,0.094134889,0.010628426,1751287259459471990,10000,12000,1751287259553651989,80,114
0.902683747,0.777295961,0.113474527,0.010507705,1751287260344302746,8000,16000,1751287260457824049,98,148
2.482687767,2.466244238,0.004410605,0.010197191,1751287262936817757,14000,4000,1751287262941223973,43,46
3.049984155,3.03475685,0.004301514,0.009547589,1751287265988196949,6000,18000,1751287265992492463,115,163
3.468399855,3.453016255,0.004625436,0.009453942,1751287269457329738,14000,2000,1751287269461958025,42,29
