t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.873392482,0.865605746,0.00416966,0.001949508,1751290738802170879,10000,8000,1751290738806337558,81,84
1.480059801,1.266967245,0.204284854,0.007602035,1751290740076856584,10000,2000,1751290740281173251,81,24
2.83546998,2.827827779,0.004250196,0.001331814,1751290743119178601,6000,16000,1751290743123423927,116,145
1.724719193,1.646327931,0.071928191,0.003703074,1751290744773877149,14000,10000,1751290744845879338,46,98
2.494586318,2.483346818,0.004091754,0.004408619,1751290747337963971,10000,22000,1751290747342037651,83,198
1.727312015,1.717897488,0.004440822,0.004110717,1751290749066137176,4000,14000,1751290749070659183,133,132
1.688574963,1.680229329,0.004278566,0.001941897,1751290750757737317,8000,22000,1751290750762012606,100,196
4.157314931,4.148903833,0.004817447,0.00221669,1751290754914982842,2000,2000,1751290754919796733,152,27
0.766692213,0.757685328,0.004131494,0.00379437,1751290755681766998,2000,6000,1751290755685911381,152,58
3.072956785,3.055764966,0.004319121,0.001930824,1751290758756903565,12000,20000,1751290758761219464,65,181
2.436539792,2.425785397,0.007847383,0.002471167,1751290761189749746,14000,8000,1751290761197594907,45,83
1.737483798,1.72644537,0.004635672,0.004063051,1751290762930538199,8000,16000,1751290762935172482,99,146
1.280502284,1.270798446,0.004901076,0.003574002,1751290764212539979,12000,10000,1751290764217442073,64,99
2.129417548,2.119409437,0.004263307,0.004872279,1751290766342333114,2000,18000,1751290766346582921,149,164
1.821629857,1.810383727,0.004020181,0.004628784,1751290768165411302,12000,16000,1751290768169422576,66,149
2.02059093,2.013172336,0.004203882,0.002551073,1751290770188363567,14000,6000,1751290770192563801,45,65
1.105438389,0.96715368,0.133939681,0.003835443,1751290771163199855,8000,6000,1751290771297137759,99,61
0.987270124,0.807813247,0.172947381,0.005295032,1751290772118228420,8000,8000,1751290772291175968,99,79
1.366113621,1.12783732,0.231654048,0.003326043,1751290773428286538,8000,14000,1751290773659985919,99,131
1.067786211,1.057463457,0.004315862,0.002897716,1751290774726513926,14000,12000,1751290774730826511,49,115
2.131426025,2.120699869,0.004239289,0.005693712,1751290776856297382,2000,10000,1751290776860534727,148,96
0.997099744,0.816186072,0.176909045,0.003294026,1751290777683622512,6000,14000,1751290777860575168,116,131
2.054957664,2.047349129,0.004117736,0.00309912,1751290779912010718,2000,4000,1751290779916122194,152,45
0.77937162,0.739639506,0.033434671,0.005305088,1751290780661309266,2000,8000,1751290780694743733,152,77
2.386227746,2.377141398,0.00413368,0.004539173,1751290783078060337,4000,20000,1751290783082187368,133,178
1.444933563,1.435901585,0.004480064,0.004001051,1751290784523655445,12000,18000,1751290784528179619,67,166
2.553007027,2.539891555,0.004830058,0.006014651,1751290787075285825,6000,6000,1751290787080111384,116,64
0.797818798,0.586543389,0.207239358,0.003589984,1751290787673494690,8000,4000,1751290787880731085,98,43
1.183404497,0.971542634,0.207666184,0.00356204,1751290788857401402,6000,8000,1751290789065064142,116,79
1.105010734,0.86884997,0.231021247,0.004565525,1751290789938641135,2000,12000,1751290790169698622,151,113
1.186425381,1.162011225,0.004699301,0.004882038,1751290791359587823,4000,6000,1751290791364288994,133,63
0.964689609,0.844464666,0.114747135,0.004413472,1751290792215712243,8000,10000,1751290792330503377,99,97
2.498785407,2.488260654,0.004544118,0.005362551,1751290794824749221,4000,22000,1751290794829294339,134,197
3.797835303,3.773613681,0.017127931,0.006495719,1751290798609518718,10000,4000,1751290798626645039,80,44
1.569840183,1.559089268,0.004234715,0.005058426,1751290800194412215,10000,12000,1751290800198644449,82,113
0.878170639,0.726394199,0.146288373,0.00479691,1751290800931662791,14000,14000,1751290801077950682,47,132
1.183435532,1.160568074,0.004138939,0.016271185,1751290802246390269,12000,8000,1751290802250525856,63,83
1.533693112,1.518625335,0.003747112,0.006308703,1751290803791157681,4000,10000,1751290803794882589,132,97
1.347711625,1.194667314,0.146441556,0.005921357,1751290804997546025,6000,10000,1751290805143982749,116,97
1.843733681,1.678716881,0.159684824,0.00481991,1751290806829596008,14000,2000,1751290806989275110,44,25
1.459244055,1.448192958,0.004136125,0.006445089,1751290808443315408,6000,4000,1751290808447447625,113,43
2.48941729,2.476531574,0.004459008,0.007403742,1751290810933516465,10000,16000,1751290810937957399,82,147
2.8518547,2.829268534,0.007668072,0.013796259,1751290813776103876,8000,2000,1751290813783770225,99,27
4.203565366,4.092166419,0.102342728,0.006921269,1751290817892718341,12000,22000,1751290817995068069,65,201
1.975157894,1.96075781,0.004295956,0.008797684,1751290819964867245,12000,12000,1751290819969147571,64,117
1.222413554,1.209241044,0.004204179,0.007042359,1751290821189593561,10000,18000,1751290821193794629,82,164
0.767920583,0.634736587,0.12496458,0.007620961,1751290821836658503,6000,18000,1751290821961668638,116,165
1.331269208,1.089703664,0.22711772,0.013891646,1751290823061225953,6000,12000,1751290823288340821,116,114
1.061292603,1.048566125,0.004465175,0.007730311,1751290824355519615,12000,14000,1751290824359996531,66,132
1.367967595,1.256711737,0.104708565,0.006038207,1751290825625367307,8000,20000,1751290825730076816,100,182
1.457277499,1.284326868,0.164669476,0.006580051,1751290827022627767,2000,14000,1751290827187343261,151,131
0.937686655,0.782633129,0.148575177,0.005706841,1751290827977812811,4000,18000,1751290828126386599,133,165
3.379618422,3.365873829,0.003935849,0.006460386,1751290831503281691,12000,2000,1751290831507212207,62,28
3.686941472,3.669907223,0.008301119,0.00812438,1751290835185387715,10000,20000,1751290835193690408,83,181
0.719800285,0.641333443,0.070978397,0.006966027,1751290835844259714,6000,20000,1751290835915239500,116,182
1.091075659,0.877938693,0.205189602,0.006318314,1751290836803236582,4000,16000,1751290837008471646,133,148
1.544415602,1.497151261,0.03216597,0.013119103,1751290838526975222,4000,8000,1751290838559147080,134,80
1.416445232,1.403563811,0.004372806,0.007943382,1751290839976936996,12000,6000,1751290839981305895,66,62
3.263869427,3.238652577,0.004538989,0.019940317,1751290843229032709,14000,22000,1751290843233571919,48,199
3.940843289,3.926075339,0.004638228,0.00877026,1751290847181519047,4000,4000,1751290847186155609,134,45
1.107846405,1.094533138,0.004202642,0.008576373,1751290848291533735,10000,6000,1751290848295727859,83,62
0.668753324,0.414848476,0.243154896,0.009395195,1751290848726425786,12000,4000,1751290848969583904,62,43
1.884296923,1.767528533,0.103100536,0.009878113,1751290850753169812,4000,12000,1751290850856272088,133,114
0.825692772,0.809264421,0.004569618,0.009806318,1751290851678801129,2000,16000,1751290851683370191,151,145
2.074510161,2.060446794,0.004243326,0.009070718,1751290853755321612,14000,16000,1751290853759560661,49,150
1.320618684,1.192586551,0.118976284,0.007945105,1751290854964027982,14000,18000,1751290855083044598,47,167
