t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.535577661,1.5277586,0.005724428,0.001481106,1751290211697464282,4000,18000,1751290211703186247,131,166
1.910281358,1.892465809,0.013909964,0.001667788,1751290213599875600,14000,22000,1751290213613785137,48,203
2.896217227,2.721684564,0.170435191,0.001899951,1751290216339817225,2000,10000,1751290216510251323,151,98
2.466876687,2.460215163,0.004672408,0.001429125,1751290218973415624,6000,22000,1751290218978084457,116,198
2.071967459,2.064414579,0.004076083,0.001703306,1751290221046175941,10000,12000,1751290221050249154,81,118
0.96279452,0.857448568,0.10304773,0.001819934,1751290221910408253,6000,16000,1751290222013440057,116,149
2.891214572,2.882498136,0.004334802,0.002593847,1751290224900052961,10000,2000,1751290224904382595,80,30
3.713923682,3.704786124,0.004313413,0.002029486,1751290228615073033,6000,20000,1751290228619382205,116,181
3.78757376,3.779793735,0.004681981,0.002547997,1751290232403640425,12000,2000,1751290232408330925,62,28
2.086379635,2.077661477,0.003953567,0.002411888,1751290234492904366,8000,12000,1751290234496854933,99,113
1.478245137,1.298269328,0.175598007,0.003826792,1751290235799107716,2000,6000,1751290235974722316,151,63
1.108812101,1.100722081,0.004060769,0.002220039,1751290237081568448,2000,12000,1751290237085626606,151,113
1.57928849,1.571755313,0.004421393,0.002438943,1751290238662006031,10000,8000,1751290238666425183,84,81
2.778959524,2.657357083,0.116684057,0.003183208,1751290241328388378,2000,20000,1751290241445115915,150,182
1.615161831,1.608288625,0.003734774,0.002635162,1751290243057442792,4000,12000,1751290243061174566,132,118
0.783483375,0.775228765,0.004065066,0.003750329,1751290243839844813,4000,16000,1751290243843905805,133,145
2.428635472,2.232562172,0.187741247,0.005504968,1751290246083586196,14000,6000,1751290246271326833,44,63
0.757452629,0.748102239,0.004198637,0.00473387,1751290247025756991,10000,4000,1751290247029953109,77,45
0.809580046,0.787759781,0.01251619,0.007726267,1751290247824394543,8000,8000,1751290247836961418,99,77
